path,cls,source,width,height,phash_hex,blur_var,kept,drop_reason,split
smaller_dataset\Braised Crucian Carp\1.jpg,Braised Crucian Carp,unknown,800,1076,edec90cd85d20f92,1393.952019167697,True,,train
smaller_dataset\Braised Crucian Carp\10.jpg,Braised Crucian Carp,unknown,667,500,fbd1b80ad16a942b,564.7326555857663,True,,train
smaller_dataset\Braised Crucian Carp\100.jpg,Braised Crucian Carp,unknown,450,800,f288ed57e87a0961,1166.6410261572144,True,,train
smaller_dataset\Braised Crucian Carp\101.jpg,Braised Crucian Carp,unknown,640,427,f854a94a256f61d6,1560.9505544010879,True,,test
smaller_dataset\Braised Crucian Carp\102.jpg,Braised Crucian Carp,unknown,380,380,d57e54e86e85809e,1593.3658635959955,True,,train
smaller_dataset\Braised Crucian Carp\103.jpg,Braised Crucian Carp,unknown,500,292,fc82900b167d473f,1273.9028514723213,True,,train
smaller_dataset\Braised Crucian Carp\104.jpg,Braised Crucian Carp,unknown,640,338,f9c29635c83ac639,1810.7466079654753,True,,train
smaller_dataset\Braised Crucian Carp\105.jpg,Braised Crucian Carp,unknown,534,400,efb790c0d4ce6069,1371.750069180028,True,,train
smaller_dataset\Braised Crucian Carp\106.jpg,Braised Crucian Carp,unknown,499,281,bfc0d542000f5f5f,1820.753654409774,True,,train
smaller_dataset\Braised Crucian Carp\107.jpg,Braised Crucian Carp,unknown,640,426,e00f8dbf85785551,879.0854550497872,True,,train
smaller_dataset\Braised Crucian Carp\108.jpg,Braised Crucian Carp,unknown,607,405,adc292312d3765cb,515.2512890608369,True,,train
smaller_dataset\Braised Crucian Carp\109.jpg,Braised Crucian Carp,unknown,502,500,eaca953569ca162d,361.4154143426138,True,,val
smaller_dataset\Braised Crucian Carp\11.jpg,Braised Crucian Carp,unknown,500,333,fec1a00b9f35e0f0,460.33137261293734,True,,test
smaller_dataset\Braised Crucian Carp\110.jpg,Braised Crucian Carp,unknown,700,500,e2b597ca09253673,583.5452875657062,True,,test
smaller_dataset\Braised Crucian Carp\111.jpg,Braised Crucian Carp,unknown,560,500,abdad08a9235a96e,941.4492000558038,True,,train
smaller_dataset\Braised Crucian Carp\113.jpg,Braised Crucian Carp,unknown,794,500,c30181d5dfb5cf42,226.87183763272404,True,,test
smaller_dataset\Braised Crucian Carp\114.jpg,Braised Crucian Carp,unknown,400,400,e9fc2e48f13c9862,1190.9272371265236,True,,test
smaller_dataset\Braised Crucian Carp\115.jpg,Braised Crucian Carp,unknown,500,666,ffc09027c93e6067,476.85609891981176,True,,train
smaller_dataset\Braised Crucian Carp\116.jpg,Braised Crucian Carp,unknown,524,350,bf0a823f5c6a62e1,8567.17662393226,True,,train
smaller_dataset\Braised Crucian Carp\117.jpg,Braised Crucian Carp,unknown,500,500,b86285a19fd65c8b,1205.7894364924005,True,,train
smaller_dataset\Braised Crucian Carp\118.jpg,Braised Crucian Carp,unknown,500,500,f48fc97406701f63,1868.1056587872636,True,,val
smaller_dataset\Braised Crucian Carp\119.jpg,Braised Crucian Carp,unknown,440,267,aac0958fd60cd8fc,1920.50933262621,True,,train
smaller_dataset\Braised Crucian Carp\12.jpg,Braised Crucian Carp,unknown,500,375,eb7fd400c3d42c9a,716.5760152620375,True,,train
smaller_dataset\Braised Crucian Carp\120.jpg,Braised Crucian Carp,unknown,500,889,f7bb2027353a610d,3725.373763926891,True,,val
smaller_dataset\Braised Crucian Carp\121.jpg,Braised Crucian Carp,unknown,713,429,81ec1e713863e1e7,464.9455759632897,True,,val
smaller_dataset\Braised Crucian Carp\122.jpg,Braised Crucian Carp,unknown,598,358,857a20ff9740ad63,1671.11706494923,True,,train
smaller_dataset\Braised Crucian Carp\123.jpg,Braised Crucian Carp,unknown,864,486,903fcfd02d0b3c99,2962.412490952221,True,,val
