                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68322,                 1.6182,                  1.069,                0.84335,                0.83665,                0.87291,                0.72988,                0.62391,                 1.2022,                0.99439,             0.00065497,             0.00065497,             0.00065497
                      2,                0.66156,                0.84286,                 1.0488,                0.79765,                0.84462,                0.87677,                0.71356,                0.70566,                0.93298,                 1.0539,              0.0013053,              0.0013053,              0.0013053
                      3,                0.68057,                0.75679,                 1.0428,                0.82813,                0.86056,                0.87942,                0.71714,                0.70785,                 0.8694,                 1.0487,              0.0019391,              0.0019391,              0.0019391
                      4,                0.66834,                0.72668,                 1.0472,                0.80937,                0.70618,                0.79915,                0.64853,                0.70991,                0.95742,                 1.0681,              0.0019258,              0.0019258,              0.0019258
                      5,                 0.6491,                0.68881,                 1.0262,                0.80106,                0.82271,                0.86013,                  0.671,                0.77986,                0.80749,                 1.1026,               0.001901,               0.001901,               0.001901
                      6,                0.62495,                0.64667,                 1.0092,                0.80648,                0.89241,                0.86932,                  0.742,                0.58392,                0.68996,                0.94302,              0.0018763,              0.0018763,              0.0018763
                      7,                0.62888,                0.62963,                 1.0117,                 0.8554,                0.87849,                0.89926,                0.76664,                0.59165,                0.62792,                0.96004,              0.0018515,              0.0018515,              0.0018515
                      8,                0.61908,                0.60019,                 1.0024,                0.84746,                0.87982,                0.91353,                0.77449,                0.57212,                  0.629,                0.93873,              0.0018267,              0.0018267,              0.0018267
                      9,                 0.6178,                0.59152,                 1.0073,                0.85563,                0.89343,                0.90602,                0.78142,                0.56709,                0.58632,                0.93888,               0.001802,               0.001802,               0.001802
                     10,                0.60117,                0.56931,                0.99951,                0.86574,                0.87351,                0.91626,                0.79936,                0.53113,                0.52383,                 0.9305,              0.0017772,              0.0017772,              0.0017772
                     11,                 0.6122,                0.56413,                 1.0097,                0.86383,                0.89044,                0.90962,                0.78185,                0.56169,                0.54371,                0.93221,              0.0017525,              0.0017525,              0.0017525
                     12,                0.59892,                0.55156,                0.99644,                0.87022,                0.88161,                0.91556,                0.79264,                0.56225,                0.50595,                0.93465,              0.0017278,              0.0017278,              0.0017278
                     13,                0.59049,                0.52881,                0.99851,                0.81158,                0.83466,                0.86765,                0.75221,                0.55095,                0.66729,                0.94068,               0.001703,               0.001703,               0.001703
                     14,                0.58395,                  0.541,                0.99159,                 0.8595,                0.87742,                0.91616,                0.78997,                0.55831,                0.53988,                0.93723,              0.0016783,              0.0016783,              0.0016783
                     15,                0.58338,                0.53649,                0.99298,                0.86306,                0.88048,                0.92188,                0.78974,                0.57587,                0.49782,                0.93128,              0.0016535,              0.0016535,              0.0016535
                     16,                0.57948,                0.53082,                0.98656,                 0.8649,                0.86853,                 0.9099,                0.79057,                0.55891,                0.51806,                 0.9429,              0.0016287,              0.0016287,              0.0016287
                     17,                0.57338,                0.53019,                 0.9856,                0.85106,                0.91135,                0.91545,                0.80188,                0.52761,                0.49406,                0.90926,               0.001604,               0.001604,               0.001604
                     18,                0.56637,                0.50066,                0.97817,                0.85518,                0.88944,                0.91615,                0.78254,                0.58249,                0.50755,                0.94545,              0.0015793,              0.0015793,              0.0015793
                     19,                0.56484,                 0.5074,                0.97815,                0.85399,                0.84163,                0.90021,                0.77193,                0.58236,                0.55681,                0.95348,              0.0015545,              0.0015545,              0.0015545
                     20,                0.56732,                0.49594,                0.98494,                0.84931,                0.90339,                 0.9114,                0.79106,                 0.5393,                0.49153,                0.92425,              0.0015298,              0.0015298,              0.0015298
                     21,                0.57789,                 0.5087,                0.99038,                0.85206,                0.88346,                  0.918,                0.80123,                0.54203,                0.49139,                0.91945,               0.001505,               0.001505,               0.001505
                     22,                0.54915,                0.49255,                0.97591,                0.85576,                0.89243,                0.90723,                0.79903,                0.51895,                0.48213,                 0.9208,              0.0014803,              0.0014803,              0.0014803
                     23,                0.54784,                0.48643,                0.97607,                0.88926,                0.87976,                 0.9142,                0.79563,                0.55115,                0.47887,                0.93315,              0.0014555,              0.0014555,              0.0014555
                     24,                0.55087,                0.46932,                0.97197,                0.86895,                0.88497,                0.91973,                0.81419,                0.51365,                0.47409,                0.91162,              0.0014307,              0.0014307,              0.0014307
                     25,                0.53887,                 0.4758,                0.97288,                0.86635,                0.89742,                0.92763,                0.81636,                0.52399,                0.47021,                0.91346,               0.001406,               0.001406,               0.001406
                     26,                0.54454,                0.46703,                0.97127,                0.87838,                0.87052,                0.92485,                0.81458,                0.52318,                0.47265,                0.90823,              0.0013813,              0.0013813,              0.0013813
                     27,                0.53535,                0.47476,                0.96566,                0.87593,                 0.9001,                0.91814,                0.80565,                0.53024,                0.45681,                0.91526,              0.0013565,              0.0013565,              0.0013565
                     28,                 0.5468,                0.46488,                0.97118,                0.88219,                0.88247,                0.92382,                0.80495,                0.54092,                0.47079,                0.91997,              0.0013318,              0.0013318,              0.0013318
