                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59463,                 1.2587,                 1.0342,                0.96478,                0.30016,                0.85099,                0.68861,                0.64573,                 2.0181,                 1.0125,             0.00065497,             0.00065497,             0.00065497
                      2,                 0.5704,                0.72835,                0.99475,                0.83072,                0.79674,                0.85008,                0.68641,                0.72057,                 1.2527,                 1.0636,              0.0013053,              0.0013053,              0.0013053
                      3,                0.59427,                0.66219,                  1.003,                0.73197,                0.76594,                0.80278,                 0.6105,                0.80847,                 1.0236,                 1.1477,              0.0019391,              0.0019391,              0.0019391
                      4,                0.57218,                0.61256,                0.99226,                0.75571,                0.76892,                 0.7765,                0.60424,                0.77316,                0.87671,                 1.1354,              0.0019258,              0.0019258,              0.0019258
                      5,                0.55551,                0.57881,                0.98174,                0.80378,                0.84363,                 0.8338,                0.68503,                0.66168,                0.75498,                 1.0176,               0.001901,               0.001901,               0.001901
                      6,                0.53655,                0.54247,                0.97208,                0.84375,                0.84163,                0.87675,                0.72663,                0.63221,                0.65237,                 1.0014,              0.0018763,              0.0018763,              0.0018763
                      7,                0.52532,                0.50328,                0.96558,                 0.8303,                0.84861,                0.88685,                0.75722,                0.59081,                0.59697,                0.98185,              0.0018515,              0.0018515,              0.0018515
                      8,                0.52547,                0.49212,                0.95652,                 0.7857,                0.81801,                0.85088,                0.70719,                0.65741,                0.68671,                0.99771,              0.0018267,              0.0018267,              0.0018267
                      9,                0.51067,                0.47311,                0.95915,                0.81104,                0.85075,                0.88158,                0.75923,                0.56616,                0.59565,                0.95528,               0.001802,               0.001802,               0.001802
                     10,                0.48926,                0.45423,                0.94461,                0.86625,                0.85359,                0.89084,                0.77126,                0.56128,                0.56064,                0.95505,              0.0017772,              0.0017772,              0.0017772
                     11,                0.49406,                0.44337,                0.95279,                0.81134,                0.78814,                0.85847,                 0.7364,                0.58948,                0.65366,                0.97329,              0.0017525,              0.0017525,              0.0017525
                     12,                0.48318,                0.41678,                0.94294,                0.85415,                0.86911,                0.90476,                 0.7723,                 0.5872,                0.55523,                0.97025,              0.0017278,              0.0017278,              0.0017278
                     13,                 0.4897,                 0.4197,                0.95078,                0.84114,                0.86155,                0.88035,                0.73579,                0.64351,                0.59068,                0.99843,               0.001703,               0.001703,               0.001703
                     14,                 0.4707,                0.40286,                0.93835,                0.84474,                0.86705,                0.90243,                0.77178,                0.57843,                 0.5538,                0.97382,              0.0016783,              0.0016783,              0.0016783
                     15,                0.45697,                0.39011,                0.94178,                0.84537,                0.87126,                0.88924,                0.77693,                0.55441,                0.52844,                0.95442,              0.0016535,              0.0016535,              0.0016535
                     16,                0.44916,                0.38975,                0.93131,                0.87514,                0.88247,                0.91214,                0.79606,                0.52989,                0.49692,                0.93473,              0.0016287,              0.0016287,              0.0016287
                     17,                 0.4535,                0.39081,                0.93055,                0.83743,                0.89786,                0.89463,                0.77087,                0.54759,                0.58102,                0.94932,               0.001604,               0.001604,               0.001604
                     18,                0.44584,                0.37473,                0.92827,                 0.8884,                0.84839,                 0.9083,                0.78849,                0.54382,                0.50893,                 0.9471,              0.0015793,              0.0015793,              0.0015793
                     19,                0.44067,                0.36859,                0.92831,                0.85617,                0.86255,                0.90517,                0.78554,                0.54975,                0.50361,                0.94103,              0.0015545,              0.0015545,              0.0015545
                     20,                0.43849,                0.36497,                0.92331,                0.87755,                0.84941,                0.88987,                0.77077,                 0.5576,                 0.5155,                 0.9604,              0.0015298,              0.0015298,              0.0015298
                     21,                0.43251,                0.36219,                0.92558,                0.83862,                0.88446,                0.89495,                 0.7865,                0.53363,                0.52817,                0.93625,               0.001505,               0.001505,               0.001505
                     22,                0.41284,                0.34524,                0.91387,                0.86756,                0.88147,                0.90472,                0.79312,                0.53169,                 0.5297,                0.94353,              0.0014803,              0.0014803,              0.0014803
                     23,                 0.4166,                0.34675,                0.91386,                0.85009,                0.85757,                0.89786,                0.76917,                0.58471,                0.54667,                0.95638,              0.0014555,              0.0014555,              0.0014555
                     24,                0.41012,                0.33129,                0.91684,                0.84241,                0.89445,                0.90315,                0.80166,                0.51513,                0.50921,                0.94478,              0.0014307,              0.0014307,              0.0014307
                     25,                0.40815,                0.33688,                0.91353,                0.86968,                0.85159,                0.90412,                0.78307,                0.56471,                0.55826,                0.95033,               0.001406,               0.001406,               0.001406
                     26,                0.40485,                0.32749,                0.91248,                 0.8609,                0.85359,                0.89711,                0.79175,                0.52253,                0.51445,                0.93096,              0.0013813,              0.0013813,              0.0013813
                     27,                0.40222,                0.32578,                0.91081,                 0.8635,                0.86753,                 0.9003,                0.78609,                0.54645,                0.50953,                0.94963,              0.0013565,              0.0013565,              0.0013565
