                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77779,                 1.8269,                 1.1448,                0.01808,                0.97809,                0.78574,                0.65059,                0.59039,                 2.2424,                0.96338,             0.00065497,             0.00065497,             0.00065497
                      2,                0.68962,                0.90074,                 1.0832,                 0.8546,                0.76295,                0.84451,                0.68663,                0.71618,                 1.3792,                 1.0646,              0.0013212,              0.0013212,              0.0013212
                      3,                0.71665,                0.84582,                 1.0861,                0.85412,                0.77291,                0.86252,                 0.6976,                0.70051,                 1.2439,                 1.0428,              0.0019855,              0.0019855,              0.0019855
                      4,                0.69926,                0.80345,                 1.0798,                0.79037,                0.76983,                0.79926,                0.61803,                0.87095,                 1.0827,                  1.144,              0.0019938,              0.0019938,              0.0019938
                      5,                0.65828,                0.71865,                 1.0512,                0.77466,                0.77384,                0.82621,                0.66888,                0.66663,                0.99379,                 1.0263,              0.0019889,              0.0019889,              0.0019889
                      6,                0.66306,                  0.702,                 1.0566,                0.86023,                0.80677,                0.86439,                0.73091,                0.60759,                0.72718,                0.97964,              0.0019827,              0.0019827,              0.0019827
                      7,                0.65554,                0.68136,                 1.0533,                0.84813,                0.79543,                0.86863,                0.71912,                0.63188,                0.74498,                0.98469,              0.0019751,              0.0019751,              0.0019751
                      8,                0.62979,                 0.6447,                  1.036,                0.81427,                0.76394,                0.82864,                0.70189,                0.60298,                0.84647,                0.98916,              0.0019662,              0.0019662,              0.0019662
                      9,                0.60915,                 0.6122,                 1.0201,                 0.8625,                0.83566,                0.88215,                0.75422,                0.58936,                0.64669,                0.97415,               0.001956,               0.001956,               0.001956
                     10,                0.61047,                0.60622,                 1.0311,                0.83767,                0.80578,                0.85253,                0.70929,                0.65306,                0.81398,                 1.0096,              0.0019444,              0.0019444,              0.0019444
                     11,                0.61418,                 0.5923,                 1.0311,                0.83682,                0.87849,                0.89105,                 0.7636,                0.56518,                0.62815,                0.95345,              0.0019315,              0.0019315,              0.0019315
                     12,                 0.6067,                0.59437,                 1.0256,                0.81883,                0.85079,                0.87168,                0.75204,                0.56821,                0.62452,                0.96227,              0.0019173,              0.0019173,              0.0019173
                     13,                0.59326,                0.57247,                  1.018,                0.80911,                0.83591,                0.84542,                0.71803,                0.61177,                0.69874,                0.98631,              0.0019019,              0.0019019,              0.0019019
                     14,                0.59011,                0.56182,                 1.0154,                0.83316,                 0.8704,                0.89225,                0.76867,                0.58056,                0.59909,                0.96426,              0.0018852,              0.0018852,              0.0018852
                     15,                0.58014,                0.55236,                 1.0168,                0.80676,                0.73805,                0.83332,                0.71047,                 0.5755,                0.90902,                0.97049,              0.0018674,              0.0018674,              0.0018674
                     16,                0.57492,                0.54189,                 1.0115,                0.78057,                0.83765,                0.84135,                0.71908,                0.62252,                0.83099,                0.99624,              0.0018483,              0.0018483,              0.0018483
                     17,                0.58033,                0.54797,                 1.0153,                0.86402,                0.84173,                0.88225,                0.75018,                0.59818,                0.60096,                0.98848,              0.0018281,              0.0018281,              0.0018281
                     18,                0.58576,                0.53721,                 1.0138,                0.85316,                0.83912,                0.88233,                0.76657,                0.55787,                0.59409,                0.95476,              0.0018068,              0.0018068,              0.0018068
                     19,                0.57177,                 0.5166,                 1.0069,                0.84619,                0.81673,                0.87929,                0.76058,                0.55292,                0.63702,                0.94221,              0.0017844,              0.0017844,              0.0017844
                     20,                0.55904,                0.50884,                0.99712,                0.85387,                0.86137,                0.88396,                0.75814,                0.59748,                0.55754,                0.97473,              0.0017609,              0.0017609,              0.0017609
                     21,                0.55965,                0.51775,                0.99991,                0.83386,                0.86853,                 0.8707,                0.75768,                  0.542,                0.56952,                 0.9405,              0.0017364,              0.0017364,              0.0017364
